INFO 2026-06-30 16:19:14,676 middleware 40648 48392 POST /api/auth/login/ 200 0.729s [anonymous]
INFO 2026-06-30 16:19:16,085 middleware 40648 48392 POST /api/auth/login/ 200 0.677s [anonymous]
INFO 2026-06-30 16:19:16,122 middleware 40648 48392 GET /api/auth/profile/ 200 0.036s [anonymous]
INFO 2026-06-30 16:19:16,124 middleware 40648 48392 GET /api/auth/profile/ 401 0.001s [anonymous]
INFO 2026-06-30 16:19:16,166 middleware 40648 48392 POST /api/auth/register/ 400 0.038s [anonymous]
INFO 2026-06-30 16:19:16,893 middleware 40648 48392 POST /api/auth/register/ 201 0.725s [anonymous]
INFO 2026-06-30 16:19:37,848 middleware 40648 48392 POST /api/auth/register/ 201 0.744s [anonymous]
INFO 2026-06-30 16:19:38,563 middleware 40648 48392 GET /api/auth/users/stats/ 200 0.002s [anonymous]
INFO 2026-07-01 12:36:04,166 middleware 952 56872 POST /api/auth/login/ 401 0.453s [anonymous]
INFO 2026-07-01 14:14:03,934 middleware 50640 53292 POST /api/auth/login/ 401 1.324s [anonymous]
INFO 2026-07-01 14:16:42,278 middleware 50640 53292 POST /api/auth/login/ 401 1.196s [anonymous]
INFO 2026-07-01 14:17:06,658 middleware 50640 53292 POST /api/auth/login/ 401 1.390s [anonymous]
INFO 2026-07-01 14:17:27,459 middleware 50640 53292 POST /api/auth/login/ 401 1.323s [anonymous]
INFO 2026-07-01 14:25:49,085 middleware 50640 37948 POST /api/auth/login/ 401 1.140s [anonymous]
INFO 2026-07-01 14:26:14,591 middleware 50640 37948 POST /api/auth/login/ 401 1.102s [anonymous]
INFO 2026-07-01 14:36:28,516 middleware 50088 27104 POST /api/auth/login/ 401 1.474s [anonymous]
INFO 2026-07-01 14:36:37,184 middleware 50088 27104 POST /api/auth/login/ 401 1.010s [anonymous]
INFO 2026-07-01 14:36:52,586 middleware 50088 27104 POST /api/auth/login/ 401 1.018s [anonymous]
INFO 2026-07-01 14:41:13,893 middleware 50088 27104 POST /api/auth/login/ 401 1.037s [anonymous]
INFO 2026-07-01 14:46:26,852 middleware 50088 33988 POST /api/auth/login/ 200 1.137s [anonymous]
